campaign_id,attack_campaign,autosut_planned_steps,attack_linked_techniques,overlap_unique_techniques,scope_interpretation
0.apt41_dust,not a Cxxxx ATT&CK campaign object,23,n/a,n/a,"Curated witness, demo, or intrusion-set run; not a full MITRE campaign denominator."
0.apt41_dust_full,not a Cxxxx ATT&CK campaign object,10,n/a,n/a,"Curated witness, demo, or intrusion-set run; not a full MITRE campaign denominator."
0.c0010,C0010: ATT&CK campaign object C0010,9,9,9,ATT&CK campaign technique set covered in this planned replay.
0.c0011,C0011: ATT&CK campaign object C0011,11,8,8,ATT&CK set plus local or subtechnique replay steps.
0.c0012,C0012: Operation CuckooBees,3,33,2,Partial planned replay; not full ATT&CK campaign coverage.
0.c0013,C0013: Operation Sharpshooter,4,13,2,Partial planned replay; not full ATT&CK campaign coverage.
0.c0015,C0015: ATT&CK campaign object C0015,5,34,1,Partial planned replay; not full ATT&CK campaign coverage.
0.c0017,C0017: ATT&CK campaign object C0017,6,29,1,Partial planned replay; not full ATT&CK campaign coverage.
0.c0026,C0026: ATT&CK campaign object C0026,6,6,6,ATT&CK campaign technique set covered in this planned replay.
0.caldera_linux_demo,not a Cxxxx ATT&CK campaign object,6,n/a,n/a,"Curated witness, demo, or intrusion-set run; not a full MITRE campaign denominator."
0.costaricto,not a Cxxxx ATT&CK campaign object,10,n/a,n/a,"Curated witness, demo, or intrusion-set run; not a full MITRE campaign denominator."
0.cve_2021_41773,not a Cxxxx ATT&CK campaign object,4,n/a,n/a,"Curated witness, demo, or intrusion-set run; not a full MITRE campaign denominator."
0.dmz_segmentation_demo,not a Cxxxx ATT&CK campaign object,4,n/a,n/a,"Curated witness, demo, or intrusion-set run; not a full MITRE campaign denominator."
0.fin6_emulation,not a Cxxxx ATT&CK campaign object,12,n/a,n/a,"Curated witness, demo, or intrusion-set run; not a full MITRE campaign denominator."
0.operation_midnighteclipse,not a Cxxxx ATT&CK campaign object,17,n/a,n/a,"Curated witness, demo, or intrusion-set run; not a full MITRE campaign denominator."
0.outer_space,not a Cxxxx ATT&CK campaign object,8,n/a,n/a,"Curated witness, demo, or intrusion-set run; not a full MITRE campaign denominator."
0.pivot_demo,not a Cxxxx ATT&CK campaign object,6,n/a,n/a,"Curated witness, demo, or intrusion-set run; not a full MITRE campaign denominator."
0.salesforce_data_exfiltration,not a Cxxxx ATT&CK campaign object,18,n/a,n/a,"Curated witness, demo, or intrusion-set run; not a full MITRE campaign denominator."
0.shadowray,not a Cxxxx ATT&CK campaign object,3,n/a,n/a,"Curated witness, demo, or intrusion-set run; not a full MITRE campaign denominator."
